Publication Years	records	% of 45820
1946	2	0.004
1947	2	0.004
1949	4	0.009
1950	14	0.031
1951	8	0.017
1952	8	0.017
1953	9	0.020
1954	14	0.031
1955	11	0.024
1956	11	0.024
1957	13	0.028
1958	18	0.039
1959	7	0.015
1960	14	0.031
1961	12	0.026
1962	19	0.041
1963	24	0.052
1964	29	0.063
1965	43	0.094
1966	52	0.113
1967	72	0.157
1968	96	0.210
1969	88	0.192
1970	100	0.218
1971	103	0.225
1972	125	0.273
1973	110	0.240
1974	127	0.277
1975	143	0.312
1976	147	0.321
1977	192	0.419
1978	197	0.430
1979	199	0.434
1980	184	0.402
1981	196	0.428
1982	210	0.458
1983	270	0.589
1984	226	0.493
1985	254	0.554
1986	253	0.552
1987	239	0.522
1988	275	0.600
1989	324	0.707
1990	368	0.803
1991	989	2.158
1992	1172	2.558
1993	1087	2.372
1994	1268	2.767
1995	1269	2.770
1996	1354	2.955
1997	1782	3.889
1998	1409	3.075
1999	1686	3.680
2000	1766	3.854
2001	1441	3.145
2002	1712	3.736
2003	1579	3.446
2004	1866	4.072
2005	1607	3.507
2006	1755	3.830
2007	1721	3.756
2008	1733	3.782
2009	1648	3.597
2010	1731	3.778
2011	1707	3.725
2012	1645	3.590
2013	1523	3.324
2014	1580	3.448
2015	1542	3.365
2016	1548	3.378
2017	886	1.934
