Publication Years	records	% of 42757
1947	4	0.009
1948	9	0.021
1949	6	0.014
1950	14	0.033
1951	11	0.026
1952	8	0.019
1953	14	0.033
1954	18	0.042
1955	18	0.042
1956	9	0.021
1957	13	0.030
1958	15	0.035
1959	13	0.030
1960	19	0.044
1961	9	0.021
1962	14	0.033
1963	13	0.030
1964	17	0.040
1965	28	0.065
1966	31	0.073
1967	33	0.077
1968	37	0.087
1969	51	0.119
1970	59	0.138
1971	84	0.196
1972	88	0.206
1973	57	0.133
1974	76	0.178
1975	74	0.173
1976	62	0.145
1977	87	0.203
1978	127	0.297
1979	93	0.218
1980	103	0.241
1981	103	0.241
1982	97	0.227
1983	119	0.278
1984	104	0.243
1985	108	0.253
1986	125	0.292
1987	113	0.264
1988	130	0.304
1989	126	0.295
1990	173	0.405
1991	541	1.265
1992	562	1.314
1993	634	1.483
1994	736	1.721
1995	771	1.803
1996	894	2.091
1997	966	2.259
1998	1115	2.608
1999	1172	2.741
2000	1298	3.036
2001	1347	3.150
2002	1323	3.094
2003	1443	3.375
2004	1570	3.672
2005	1624	3.798
2006	1534	3.588
2007	1832	4.285
2008	1779	4.161
2009	1813	4.240
2010	1996	4.668
2011	2054	4.804
2012	2114	4.944
2013	2326	5.440
2014	2432	5.688
2015	2409	5.634
2016	2479	5.798
2017	1479	3.459
