Publication Years	records	% of 6837
1970	2	0.029
1973	2	0.029
1980	2	0.029
1982	2	0.029
1983	5	0.073
1987	2	0.029
1988	3	0.044
1989	8	0.117
1990	9	0.132
1991	88	1.287
1992	102	1.492
1993	125	1.828
1994	137	2.004
1995	132	1.931
1996	136	1.989
1997	161	2.355
1998	165	2.413
1999	208	3.042
2000	183	2.677
2001	188	2.750
2002	223	3.262
2003	268	3.920
2004	316	4.622
2005	276	4.037
2006	307	4.490
2007	294	4.300
2008	329	4.812
2009	316	4.622
2010	347	5.075
2011	349	5.105
2012	362	5.295
2013	344	5.031
2014	383	5.602
2015	404	5.909
2016	402	5.880
2017	249	3.642
